code_zone,nom_affiche,niveau,code_parent,nom_parent
MG54510090,Aboalimena,Commune,MG54510,Belo Sur Tsiribihina
MG54510111,Ankalalobe,Commune,MG54510,Belo Sur Tsiribihina
MG54510112,Ambiky,Commune,MG54510,Belo Sur Tsiribihina
MG54510131,Berevo,Commune,MG54510,Belo Sur Tsiribihina
MG54510132,Antsoha,Commune,MG54510,Belo Sur Tsiribihina
MG54510151,Belinta,Commune,MG54510,Belo Sur Tsiribihina
MG54510152,Ankiroroky,Commune,MG54510,Belo Sur Tsiribihina
MG54511011,Miandrivazo,Commune,MG54511,Miandrivazo
MG54511012,Dabolava,Commune,MG54511,Miandrivazo
MG54511031,Bemahatazana,Commune,MG54511,Miandrivazo
MG54511032,Ampanihy,Commune,MG54511,Miandrivazo
MG54511033,Anosimena,Commune,MG54511,Miandrivazo
MG54511050,Manandaza,Commune,MG54511,Miandrivazo
MG54511071,Ankotrofotsy,Commune,MG54511,Miandrivazo
MG54511072,Isalo,Commune,MG54511,Miandrivazo
MG54511091,Ambatolahy,Commune,MG54511,Miandrivazo
MG54511092,Manambina,Commune,MG54511,Miandrivazo
MG54511110,Itondy,Commune,MG54511,Miandrivazo
MG54511130,Ankavandra,Commune,MG54511,Miandrivazo
MG54511150,Soaloka,Commune,MG54511,Miandrivazo
MG54511170,Betsipolitra,Commune,MG54511,Miandrivazo
MG54511210,Ankondromena,Commune,MG54511,Miandrivazo
MG71713010,Ramena,Commune,MG71713,Antsiranana II
MG71713031,Sakaramy,Commune,MG71713,Antsiranana II
MG71713032,Antanamitarana,Commune,MG71713,Antsiranana II
MG71713033,Joffre Ville,Commune,MG71713,Antsiranana II
MG71713050,Antsahampano,Commune,MG71713,Antsiranana II
MG71713070,Mahavanona,Commune,MG71713,Antsiranana II
MG71713090,Mangaoka,Commune,MG71713,Antsiranana II
MG71713110,Andrafiabe,Commune,MG71713,Antsiranana II
MG71713130,Anketrakabe,Commune,MG71713,Antsiranana II
MG71713151,Sadjoavato,Commune,MG71713,Antsiranana II
MG71713152,Antsalaka,Commune,MG71713,Antsiranana II
MG71713170,Andranovondronina,Commune,MG71713,Antsiranana II
MG71713191,Andranofanjava,Commune,MG71713,Antsiranana II
MG71713192,Mahalina,Commune,MG71713,Antsiranana II
MG71713210,Ankarongana,Commune,MG71713,Antsiranana II
MG71713231,Anivorano Nord,Commune,MG71713,Antsiranana II
MG71713232,Antsoha,Commune,MG71713,Antsiranana II
MG71713251,Bobasakoa,Commune,MG71713,Antsiranana II
MG71713252,Ambondrona,Commune,MG71713,Antsiranana II
MG71713253,Bobakilandy,Commune,MG71713,Antsiranana II
MG71713254,Mosorolava,Commune,MG71713,Antsiranana II
MG71715009,Diego Suarez,Commune,MG71715,Antsiranana I
MG71717010,Ambilobe,Commune,MG71717,Ambilobe
MG71717030,Mantaly,Commune,MG71717,Ambilobe
MG71717050,Ampondralava,Commune,MG71717,Ambilobe
MG71717070,Tanambao Marivorahona,Commune,MG71717,Ambilobe
MG71717090,Ambakirano,Commune,MG71717,Ambilobe
MG71717110,Ambatoben'anjavy,Commune,MG71717,Ambilobe
MG71717130,Antsaravibe,Commune,MG71717,Ambilobe
MG71717150,Antsohimbondrona,Commune,MG71717,Ambilobe
MG71717171,Anjiabe Ambony,Commune,MG71717,Ambilobe
MG71717172,Ambodibonara,Commune,MG71717,Ambilobe
MG71717190,Beramanja,Commune,MG71717,Ambilobe
MG71717210,Betsiaka,Commune,MG71717,Ambilobe
MG71717231,Ambarakaraka,Commune,MG71717,Ambilobe
MG71717232,Anaborano Ifasy,Commune,MG71717,Ambilobe
MG71717233,Manambato,Commune,MG71717,Ambilobe
MG71718001,Hell-Ville,Commune,MG71718,Nosy-Be
MG71718002,Ampangorina,Commune,MG71718,Nosy-Be
MG71718003,Ambatozavavy,Commune,MG71718,Nosy-Be
MG71718004,Bemanondrobe,Commune,MG71718,Nosy-Be
MG71718005,Dzamandzar,Commune,MG71718,Nosy-Be
MG71719010,Ambanja,Commune,MG71719,Ambanja
MG71719030,Benavony,Commune,MG71719,Ambanja
MG71719050,Ambohimena,Commune,MG71719,Ambanja
MG71719070,Antsatsaka,Commune,MG71719,Ambanja
MG71719091,Antranokarany,Commune,MG71719,Ambanja
MG71719092,Djangoa,Commune,MG71719,Ambanja
MG71719110,Antsakoamanondro,Commune,MG71719,Ambanja
MG71719130,Ambalahonko,Commune,MG71719,Ambanja
MG71719150,Ankingameloka,Commune,MG71719,Ambanja
MG71719171,Bemaneviky Haut Sambirano,Commune,MG71719,Ambanja
MG71719172,Ambodimanga Ramena,Commune,MG71719,Ambanja
MG71719173,Maevatanana,Commune,MG71719,Ambanja
MG71719190,Antafiambotry,Commune,MG71719,Ambanja
MG71719210,Maherivaratra,Commune,MG71719,Ambanja
MG71719231,Marovato,Commune,MG71719,Ambanja
MG71719232,Ambohitrandriana,Commune,MG71719,Ambanja
MG71719233,Ambohimarina,Commune,MG71719,Ambanja
MG71719250,Ambaliha,Commune,MG71719,Ambanja
MG71719270,Marotolana,Commune,MG71719,Ambanja
MG71719290,Bemaneviky Ouest,Commune,MG71719,Ambanja
MG71719310,Anorontsangana,Commune,MG71719,Ambanja
MG71719330,Antsirabe,Commune,MG71719,Ambanja
MG71719350,Ankatafa,Commune,MG71719,Ambanja
MG72710010,Antalaha Ambonivohitra,Commune,MG72710,Antalaha
MG72710030,Ampahana,Commune,MG72710,Antalaha
MG72710050,Ampohibe,Commune,MG72710,Antalaha
MG72710070,Antombana,Commune,MG72710,Antalaha
MG72710090,Antsahanoro,Commune,MG72710,Antalaha
MG72710110,Antananambo,Commune,MG72710,Antalaha
MG72710130,Marofinaritra,Commune,MG72710,Antalaha
MG72710151,Sarahandrano,Commune,MG72710,Antalaha
MG72710152,Andampy,Commune,MG72710,Antalaha
MG72710170,Ambalabe,Commune,MG72710,Antalaha
MG72710190,Ambinanifaho,Commune,MG72710,Antalaha
MG72710210,Ambohitralanana,Commune,MG72710,Antalaha
MG72710230,Lanjarivo,Commune,MG72710,Antalaha
MG72710250,Antsambalahy,Commune,MG72710,Antalaha
MG72710271,Vinanivao,Commune,MG72710,Antalaha
MG72710272,Ampanavoana,Commune,MG72710,Antalaha
MG72711010,Sambava Cu,Commune,MG72711,Sambava
MG72711059,Ambohimalaza,Commune,MG72711,Sambava
MG72711079,Farahalana,Commune,MG72711,Sambava
MG72711090,Nosiarina,Commune,MG72711,Sambava
MG72711130,Ambodivoara,Commune,MG72711,Sambava
MG72711150,Anjinjaomby,Commune,MG72711,Sambava
MG72711170,Morafeno,Commune,MG72711,Sambava
MG72711190,Analamaho,Commune,MG72711,Sambava
MG72711210,Ambohimitsinjo,Commune,MG72711,Sambava
MG72711230,Anjangoveratra,Commune,MG72711,Sambava
MG72711250,Andratamarina,Commune,MG72711,Sambava
MG72711270,Marogaona,Commune,MG72711,Sambava
MG72711290,Marojala,Commune,MG72711,Sambava
MG72711310,Antsambaharo,Commune,MG72711,Sambava
MG72711330,Andrahanjo,Commune,MG72711,Sambava
MG72711350,Bemanevika,Commune,MG72711,Sambava
MG72711371,Amboangibe,Commune,MG72711,Sambava
MG72711372,Andrembona,Commune,MG72711,Sambava
MG72711390,Antindra,Commune,MG72711,Sambava
MG72711410,Ambodiampana,Commune,MG72711,Sambava
MG72711430,Maroambihy,Commune,MG72711,Sambava
MG72711450,Ambatoafo,Commune,MG72711,Sambava
MG72711470,Anjialava,Commune,MG72711,Sambava
MG72711490,Tanambao Daoud,Commune,MG72711,Sambava
MG72711510,Antsahavaribe,Commune,MG72711,Sambava
MG72711530,Bevonotra,Commune,MG72711,Sambava
MG72712010,Andapa,Commune,MG72712,Andapa
MG72712030,Tanandava,Commune,MG72712,Andapa
MG72712050,Ankiakabe Nord,Commune,MG72712,Andapa
MG72712070,Belaoka Marovato,Commune,MG72712,Andapa
MG72712090,Ambodimanga I,Commune,MG72712,Andapa
MG72712110,Marovato,Commune,MG72712,Andapa
MG72712130,Andrakata,Commune,MG72712,Andapa
MG72712150,Bealampona,Commune,MG72712,Andapa
MG72712170,Matsohely,Commune,MG72712,Andapa
MG72712190,Andranomena,Commune,MG72712,Andapa
MG72712210,Ambalamanasy II,Commune,MG72712,Andapa
MG72712230,Ambodiangezoka,Commune,MG72712,Andapa
MG72712250,Betsakotsako Andranotsara,Commune,MG72712,Andapa
MG72712270,Belaoka Lokoho,Commune,MG72712,Andapa
MG72712290,Anoviara,Commune,MG72712,Andapa
MG72712310,Doany,Commune,MG72712,Andapa
MG72712330,Anjialavabe,Commune,MG72712,Andapa
MG72712350,Antsahamena,Commune,MG72712,Andapa
MG72716010,Vohemar,Commune,MG72716,Vohemar
MG72716030,Ampondra,Commune,MG72716,Vohemar
MG72716050,Fanambana,Commune,MG72716,Vohemar
MG72716070,Milanoa,Commune,MG72716,Vohemar
MG72716090,Bobakindro,Commune,MG72716,Vohemar
MG72716110,Daraina,Commune,MG72716,Vohemar
MG72716130,Ambalasatrana,Commune,MG72716,Vohemar
MG72716150,Tsarabaria,Commune,MG72716,Vohemar
MG72716170,Nosibe,Commune,MG72716,Vohemar
MG72716190,Andravory,Commune,MG72716,Vohemar
MG72716210,Andrafainkona,Commune,MG72716,Vohemar
MG72716231,Ampanefena,Commune,MG72716,Vohemar
MG72716232,Ambodisambalahy,Commune,MG72716,Vohemar
MG72716250,Ambinanin'andravory,Commune,MG72716,Vohemar
MG72716270,Amboriala,Commune,MG72716,Vohemar
MG72716290,Maromokotra Loky,Commune,MG72716,Vohemar
MG72716310,Antsirabe Nord,Commune,MG72716,Vohemar
MG72716330,Ampisikinana,Commune,MG72716,Vohemar
MG72716350,Belambo,Commune,MG72716,Vohemar
