Adresse,lat,lon,precision,correspondance
"Besalampy, Melaky, Madagascar",-16.7484406,44.4908675,exacte,"Besalampy, Melaky, Province de Mahajanga, Madagasikara / Madagascar"
"Besarety, Antananarivo, Analamanga, Madagascar",-18.9016339,47.5362974,exacte,"Besarety, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Betafo, Vakinankaratra, Madagascar",-19.8385451,46.8562285,exacte,"Betafo, Vakinankaratra, Province d’Antananarivo, Madagasikara / Madagascar"
"Betioky, Atsimo-Andrefana, Madagascar",-23.718638,44.3794652,exacte,"Betioky, Betioky Atsimo, Atsimo-Andrefana, Province de Toliara, Madagasikara / Madagascar"
"Betongolo, Antananarivo, Analamanga, Madagascar",-18.9051156,47.5397786,exacte,"Betongolo, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Carion, Analamanga, Madagascar",-18.906508,47.706098,exacte,"Carion, Nandihizana Carion, District de Manjakandriana, Analamanga, Province d’Antananarivo, 116, Madagasikara / Madagascar"
Catania,,,introuvable,
F 259,-18.6109864,47.3995487,incertaine,"F, Ambohibary, Anjanadoria, District d'Ambohidratrimo, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Fandriana, Amoron'i Mania, Madagascar",-20.2387837,47.3783614,exacte,"Fandriana, Amoron'i Mania, Province de Fianarantsoa, Madagasikara / Madagascar"
"Farafangana, Atsimo-Atsinanana, Madagascar",-22.8217524,47.8307127,exacte,"Farafangana, District de Farafangana, Atsimo-Atsinanana, Province de Fianarantsoa, 309, Madagasikara / Madagascar"
"Faratsiho, Vakinankaratra, Madagascar",-19.4050956,46.9508361,exacte,"Faratsiho, Vakinankaratra, Province d’Antananarivo, Madagasikara / Madagascar"
"Faravohitra, Antananarivo, Analamanga, Madagascar",-18.9097137,47.5297512,exacte,"Faravohitra, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Fenoarivo Atsinanana, Analanjirofo, Madagascar",-17.382029,49.4099733,exacte,"Fenoarivo Atsinanana, District de Fénérive-Est, Analanjirofo, Province de Tamatave, 509, Madagasikara / Madagascar"
"Fenoarivo, Antananarivo, Analamanga, Madagascar",-18.9329992,47.4354336,exacte,"Fenoarivo, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Fiadanana, Antananarivo, Analamanga, Madagascar",-18.9339924,47.5245164,exacte,"Fiadanana, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Fianarantsoa, Haute Matsiatra, Madagascar",-21.456444,47.085149,exacte,"Fianarantsoa, District de Fianarantsoa, Matsiatra Ambony, Province de Fianarantsoa, 301, Madagasikara / Madagascar"
"Fieferana, Antananarivo, Analamanga, Madagascar",-18.830134,47.6450309,exacte,"Fieferana, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
France,-18.9210402,47.5024721,incertaine,"France, Làlana Ny Avana Ramanantoanina, Ambilanibe, Anosizato Andrefana, Ilanivato, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
G 149,-18.9539563,47.534776,incertaine,"Socobis Madagascar, Androndrakely, Antananarivo, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ihosy, Ihorombe, Madagascar",-22.403183,46.1289903,exacte,"Ihosy, District d'Ihosy, Ihorombe, Province de Fianarantsoa, 313, Madagasikara / Madagascar"
"Ilafy, Antananarivo, Analamanga, Madagascar",-18.8540159,47.5655919,exacte,"Ilafy, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Ilakaka, Ihosy, Ihorombe, Madagascar",-22.700384,45.2147386,exacte,"Andohanilakaka, District d'Ihosy, Ihorombe, Province de Fianarantsoa, Madagasikara / Madagascar"
"Ilanivato, Antananarivo, Analamanga, Madagascar",-18.923307,47.5010319,exacte,"Ilanivato, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Imerimandroso, Alaotra-Mangoro, Madagascar",-17.427856,48.592285,exacte,"Imerimandroso, Ambatondrazaka, Alaotra-Mangoro, Province de Tamatave, Madagasikara / Madagascar"
"Imerimanjaka, Antananarivo, Analamanga, Madagascar",-18.9797615,47.546441,exacte,"Imerimanjaka, Ambohijanaka, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Imerintsiatosika, Itasy, Madagascar",-18.9812396,47.3238704,exacte,"Imerintsiatosika, Arivonimamo, Itasy, Province d’Antananarivo, Madagasikara / Madagascar"
"Itaosy, Antananarivo, Analamanga, Madagascar",-18.9181185,47.4708415,exacte,"Itaosy, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Itasy, Madagascar",-19.036567,46.9937529,exacte,"Itasy, Province d’Antananarivo, Madagasikara / Madagascar"
"Ivandry, Antananarivo, Analamanga, Madagascar",-18.8758484,47.5236374,exacte,"Ivandry, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Ivato Aéroport, Antananarivo, Analamanga, Madagascar",-18.7961372,47.4734286,exacte,"Aéroport International d'Ivato, Feux BI omnidirectionnels, Soamanandray, Anosiala, District d'Ambohidratrimo, Analamanga, Province d’Antananarivo, 105, Madagasikara / Madagascar"
"Ivato, Antananarivo, Analamanga, Madagascar",-18.8683551,47.5159967,exacte,"Lalana Tsarasaotra-Ivato, Tsarasaotra, Soavimasoandro, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Ivohibe, Ihorombe, Madagascar",-22.4810358,46.888135,exacte,"Ivohibe, District d'Ivohibe, Ihorombe, Province de Fianarantsoa, Madagasikara / Madagascar"
Ivolaniray,-18.9266487,47.5061917,incertaine,"Ivolaniray, Anosizato Andrefana, Ilanivato, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Ivory, Antsirabe, Vakinankaratra, Madagascar",-19.8692759,47.0222776,exacte,"Ivory, Antsirabe, Antsirabe I, Vakinankaratra, Province d’Antananarivo, 110, Madagasikara / Madagascar"
"Kandreho, Betsiboka, Madagascar",-17.4840961,46.0947251,exacte,"Kandreho, District de Kandreho, Betsiboka, Province de Mahajanga, Madagasikara / Madagascar"
"Lazaina, Antananarivo, Analamanga, Madagascar",-18.805612,47.5615294,exacte,"Lazaina, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
Loharanombato,,,introuvable,
Lot 0908D081,,,introuvable,
"Maevatanana, Betsiboka, Madagascar",-16.9497038,46.828337,exacte,"Maevatanàna, Maevatanana, Betsiboka, Province de Mahajanga, Madagasikara / Madagascar"
Mahafaly Vatofotsy,-19.8401274,47.0420243,incertaine,"Centre d' Acceuille - Mopera Mahafaly, N 7, Miaramasoandro Vatofotsy, Antsirabe, Antsirabe I, Vakinankaratra, Province d’Antananarivo, 110, Madagasikara / Madagascar"
"Mahajanga, Boeny, Madagascar",-15.7181492,46.3172577,exacte,"Mahajanga, Mahajanga I, Boeny, Province de Mahajanga, Madagasikara / Madagascar"
"Mahamasina, Antananarivo, Analamanga, Madagascar",-18.9184037,47.5248045,exacte,"Mahamasina, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Mahanoro, Atsinanana, Madagascar",-19.9001695,48.8094884,exacte,"Mahanoro, District de Mahanoro, Atsinanana, Province de Tamatave, Madagasikara / Madagascar"
"Mahavelona, Atsinanana, Madagascar",-17.6788734,49.5118525,exacte,"Mahavelona, Toamasina II, Atsinanana, Province de Tamatave, Madagasikara / Madagascar"
Mahazina,-19.8130153,47.0286727,incertaine,"Mahazina, Antsirabe II, Vakinankaratra, Province d’Antananarivo, 110, Madagasikara / Madagascar"
"Mahazoarivo, Antananarivo, Analamanga, Madagascar",-18.938896,47.5459118,exacte,"Mahazoarivo, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Mahitsy, Analamanga, Madagascar",-18.7482365,47.3453175,exacte,"Mahitsy, District d'Ambohidratrimo, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Mahitsy, Antananarivo, Analamanga, Madagascar",-18.7482365,47.3453175,exacte,"Mahitsy, District d'Ambohidratrimo, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Maintirano, Melaky, Madagascar",-18.0608947,44.023951,exacte,"Maintirano, Melaky, Province de Mahajanga, Madagasikara / Madagascar"
Malaho,-18.9747571,47.5083402,incertaine,"Malaho, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
Malaho Bevalala,,,introuvable,
"Manakambahiny, Ambatondrazaka, Alaotra-Mangoro, Madagascar",-17.8573118,48.2939706,exacte,"Manakambahiny, Ambatondrazaka, Alaotra-Mangoro, Province de Tamatave, Madagasikara / Madagascar"
"Manakara, Fitovinany, Madagascar",-22.1449564,48.0113527,exacte,"Manakara, District de Manakara, Fitovinany, Province de Fianarantsoa, 316, Madagasikara / Madagascar"
"Manambondro, Vangaindrano, Atsimo-Atsinanana, Madagascar",-23.7995702,47.5439454,exacte,"Manambondro, District de Vangaindrano, Atsimo-Atsinanana, Province de Fianarantsoa, Madagasikara / Madagascar"
"Mananjary, Vatovavy, Madagascar",-21.2385393,48.3463035,exacte,"Mananjary, District de Mananjary, Vatovavy, Province de Fianarantsoa, 317, Madagasikara / Madagascar"
"Manarintsoa, Antananarivo, Analamanga, Madagascar",-18.9125971,47.5133988,exacte,"Manarintsoa, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Mandritsara, Sofia, Madagascar",-15.844323,48.8238884,exacte,"Mandritsara, Sofia, Province de Mahajanga, Madagasikara / Madagascar"
"Mandroseza, Antananarivo, Analamanga, Madagascar",-18.9343683,47.550035,exacte,"Mandroseza, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Mangarivotra, Mahajanga, Boeny, Madagascar",-15.7164838,46.3134356,exacte,"Mangarivotra, Mahajanga, Mahajanga I, Boeny, Province de Mahajanga, Madagasikara / Madagascar"
"Manjakaray, Antananarivo, Analamanga, Madagascar",-18.8904911,47.5333981,exacte,"Manjakaray, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Maroantsetra, Analanjirofo, Madagascar",-17.0173834,49.1725519,approchée,"Analanjirofo, Province de Tamatave, Madagasikara / Madagascar"
"Matanga, Vangaindrano, Atsimo-Atsinanana, Madagascar",-23.5239755,47.5523974,exacte,"Matanga, District de Vangaindrano, Atsimo-Atsinanana, Province de Fianarantsoa, Madagasikara / Madagascar"
Mazoarivo,-22.8389828,47.5360501,incertaine,"Mazoarivo, Ambalabe, District de Farafangana, Atsimo-Atsinanana, Province de Fianarantsoa, Madagasikara / Madagascar"
Miandrarivo,-18.3749209,47.8854534,incertaine,"Miandrarivo, Anjozorobe, District d'Anjozorobe, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
Miandriarivo,-21.3323276,47.1675047,incertaine,"Miandriarivo, Ambalamahasoa, District de Lalangina, Matsiatra Ambony, Province de Fianarantsoa, Madagasikara / Madagascar"
"Miandrivazo, Menabe, Madagascar",-19.5312416,45.4587681,exacte,"Miandrivazo, District de Miandrivazo, Menabe, Province de Toliara, Madagasikara / Madagascar"
"Miarinarivo, Itasy, Madagascar",-18.956006,46.906709,exacte,"Miarinarivo, Miarinarivo I, Miarinarivo, Itasy, Province d’Antananarivo, Madagasikara / Madagascar"
"Moramanga, Alaotra-Mangoro, Madagascar",-18.9471494,48.2304269,exacte,"Moramanga, Alaotra-Mangoro, Province de Tamatave, 514, Madagasikara / Madagascar"
Morarano,-18.905583,47.312523,incertaine,"Morarano, Arivonimamo, Itasy, Province d’Antananarivo, Madagasikara / Madagascar"
"Morondava, Menabe, Madagascar",-20.2951102,44.2786121,exacte,"Morondava, Menabe, Province de Toliara, Madagasikara / Madagascar"
"Namontana, Antananarivo, Analamanga, Madagascar",-18.9363166,47.5185995,exacte,"Madera Namontana, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Nanisana, Antananarivo, Analamanga, Madagascar",-18.8898644,47.5488231,exacte,"Nanisana, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Nosy Be Hell-Ville, Nosy Be, Diana, Madagascar",-13.3959693,48.2660821,exacte,"Air Madagascar Office, Route de l'Ouest, Hell-Ville, District de Nosy Be, Diana, Province d'Antsiranana, 207, Madagasikara / Madagascar"
"Nosy Be, Diana, Madagascar",-13.311953,48.2533986,exacte,"Nosy Be, District de Nosy Be, Diana, Province d'Antsiranana, Madagasikara / Madagascar"
"Nosy Varika, Vatovavy, Madagascar",-20.5829067,48.5322582,exacte,"Nosy Varika, District de Nosy Varika, Vatovavy, Province de Fianarantsoa, Madagasikara / Madagascar"
Ouest Mananjara,-18.9319438,47.5174946,incertaine,"Ouest Mananjara, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
Paris,-14.900352,50.279944,incertaine,"Boulevard de Paris, Tanambao, Ville Basse, Antalaha, District d'Antalaha, Sava, Province d'Antsiranana, Madagasikara / Madagascar"
Pavillon S23,,,introuvable,
"Port-Bergé, Sofia, Madagascar",-15.5668595,47.6207245,exacte,"Port-Bergé, Port-Berge (Boriziny-Vaovao), Sofia, Province de Mahajanga, 419, Madagasikara / Madagascar"
"Ravitoto, Antananarivo, Analamanga, Madagascar",-18.9100122,47.5255809,approchée,"Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Sabotsy Namehana, Antananarivo, Analamanga, Madagascar",-18.8348151,47.5556302,exacte,"Sabotsy Namehana, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Sambava, Sava, Madagascar",-14.254956,50.1556533,exacte,"Sambava, District de Sambava, Sava, Province d'Antsiranana, 208, Madagasikara / Madagascar"
"Sirama, Ambilobe, Diana, Madagascar",-13.0910217,48.9252612,exacte,"Sirama, Ambilobe, Diana, Province d'Antsiranana, Madagasikara / Madagascar"
"Soamanandrariny, Antananarivo, Analamanga, Madagascar",-18.8910451,47.5654386,exacte,"Soamanandrariny, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Soanierana, Antananarivo, Analamanga, Madagascar",-18.9381282,47.524023,exacte,"Soanierana, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Soanierana-Ivongo, Analanjirofo, Madagascar",-16.920327,49.585367,exacte,"Soanierana Ivongo, Analanjirofo, Province de Tamatave, Madagasikara / Madagascar"
"Soanindrariny, Antsirabe, Vakinankaratra, Madagascar",-19.904917,47.235248,exacte,"Soanindrariny, Antsirabe II, Vakinankaratra, Province d’Antananarivo, Madagasikara / Madagascar"
"Soavimasoandro, Antananarivo, Analamanga, Madagascar",-18.8627913,47.5182153,exacte,"Soavimasoandro, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Soavimbahoaka, Antananarivo, Analamanga, Madagascar",-18.891385,47.5408412,exacte,"Soavimbahoaka, Ambatomainty, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Soavina, Antananarivo, Analamanga, Madagascar",-18.9593135,47.5032816,exacte,"Soavina, Vahilava, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Soavinandriana, Itasy, Madagascar",-19.2179582,46.5864031,exacte,"Soavinandriana, Itasy, Province d’Antananarivo, 118, Madagasikara / Madagascar"
"Talatamaty, Antananarivo, Analamanga, Madagascar",-18.8399189,47.4602622,exacte,"Talatamaty, Ambohidratrimo, District d'Ambohidratrimo, Analamanga, Province d’Antananarivo, 105, Madagasikara / Madagascar"
"Tanjombato, Antananarivo, Analamanga, Madagascar",-18.9524876,47.5181839,exacte,"Parc des expos Forello, Tanjombato, Rue Général Roland Rabetafika, Fasan'ny Karàna, Anosizato Andrefana, Ankadimbahoaka, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Toamasina, Atsinanana, Madagascar",-18.1553985,49.4098352,exacte,"Toamasina, Toamasina I, Atsinanana, Province de Tamatave, 501, Madagasikara / Madagascar"
"Tolagnaro, Anosy, Madagascar",-25.0290132,46.9966565,exacte,"Tolagnaro, District de Tôlanaro, Anosy, Province de Toliara, Madagasikara / Madagascar"
"Toliara, Atsimo-Andrefana, Madagascar",-23.354173,43.66966,exacte,"Toliara, Toliary-I, Atsimo-Andrefana, Province de Toliara, 601, Madagasikara / Madagascar"
Tongarivo,-18.9676391,47.5277716,incertaine,"Tongarivo, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Tsarahonenana, Antananarivo, Analamanga, Madagascar",-18.9037083,47.55076,exacte,"Tsarahonenana, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Tsaramasay, Antananarivo, Analamanga, Madagascar",-18.8914428,47.5162534,exacte,"Tsaramasay, Ankazomanga, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Tsaratanana, Betsiboka, Madagascar",-17.1382239,47.6360901,exacte,"Tsaratanana, Betsiboka, Province de Mahajanga, 203, Madagasikara / Madagascar"
"Tsiadana, Antananarivo, Analamanga, Madagascar",-18.9182962,47.5449553,exacte,"Tsiadana, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Tsihombe, Androy, Madagascar",-25.318547,45.484057,exacte,"Tsihombe, Androy, Province de Toliara, 621, Madagasikara / Madagascar"
"Tsimbazaza, Antananarivo, Analamanga, Madagascar",-18.9362146,47.5280682,exacte,"Tsimbazaza, Route Circulaire, Tsarafaritra Tsimbazaza, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Tsiroanomandidy, Bongolava, Madagascar",-18.7698412,46.0495226,exacte,"Tsiroanomandidy, Bongolava, Province d’Antananarivo, Madagasikara / Madagascar"
"Vakinankaratra, Madagascar",-19.7010485,46.8288083,exacte,"Vakinankaratra, Province d’Antananarivo, Madagasikara / Madagascar"
"Vohemar, Sava, Madagascar",-13.3770033,50.0038171,exacte,"Vohemar, N 59a, Androrona, Vohemar, District de Vohemar, Sava, Province d'Antsiranana, Madagasikara / Madagascar"
Zoma Bealoka,-18.853328,47.0569298,incertaine,"Zoma Bealoka, Miarinarivo, Itasy, Province d’Antananarivo, Madagasikara / Madagascar"
