Adresse,lat,lon,precision,correspondance
"Amboditsiry, Antananarivo, Analamanga, Madagascar",-18.8844741,47.5371424,exacte,"Amboditsiry, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
Ambodivoarabe,,,introuvable,
"Ambohibao, Antananarivo, Analamanga, Madagascar",-19.0170498,47.5368252,exacte,"Ambohibao, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
Ambohibarikely,-18.928559,47.5169492,incertaine,"Ambohibarikely, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
Ambohibe Ikafy,,,introuvable,
"Ambohidrabiby, Antananarivo, Analamanga, Madagascar",-18.7706643,47.6099919,exacte,"Ambohidrabiby, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ambohidrapeto, Antananarivo, Analamanga, Madagascar",-18.8981257,47.4735242,exacte,"Ambohidrapeto, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ambohidratrimo, Antananarivo, Analamanga, Madagascar",-18.8186405,47.4395021,exacte,"Ambohidratrimo, District d'Ambohidratrimo, Analamanga, Province d’Antananarivo, 105, Madagasikara / Madagascar"
"Ambohijanahary, Antananarivo, Analamanga, Madagascar",-18.9254781,47.5248651,exacte,"Ambohijanahary, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Ambohijanaka, Antananarivo, Analamanga, Madagascar",-18.997713,47.5608229,exacte,"Ambohijanaka, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ambohimanambola, Antananarivo, Analamanga, Madagascar",-18.9488122,47.619971,exacte,"Ambohimanambola, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ambohimanarina, Ambatolampy Tsimahafotsy, Analamanga, Madagascar",-18.7915712,47.5157415,approchée,"Newprint AMBATOLAMPY TSIMAHAFOTSY, Autoroute 1, Ambodirano, Ambohitrinimanga, Antsahakely, Ambohimanga Rova, District d'Ambohidratrimo, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ambohimanarina, Antananarivo, Analamanga, Madagascar",-18.8748308,47.5015291,exacte,"Ambohimanarina, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Ambohimanga Rova, Analamanga, Madagascar",-18.772925,47.5558383,exacte,"Ambohimanga Rova, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ambohimangakely, Antananarivo, Analamanga, Madagascar",-18.9009809,47.5991011,exacte,"Ambohimangakely, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
Ambohimirary,-18.3343696,47.7249581,incertaine,"Ambohimirary, District d'Anjozorobe, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ambohipo, Antananarivo, Analamanga, Madagascar",-18.9259831,47.5577342,exacte,"Ambohipo, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Ambohipotsy, Antananarivo, Analamanga, Madagascar",-18.9304113,47.5319302,exacte,"Ambohipotsy, Ambohimitsimbina, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Ambohitrarahaba, Antananarivo, Analamanga, Madagascar",-18.8631504,47.5477687,exacte,"Ambohitrarahaba, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Ambohitrimanjaka, Antananarivo, Analamanga, Madagascar",-18.8769053,47.4777506,exacte,"Route Ambohitrimanjaka, Ambodihady, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
